appearances,name,description,id,Titles
['https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2ce'],Abyss of Agony,Abyss of Agony is a Level in Tri Force Heroes. It is the second Level of the Riverside area. ,5f6d158a3dd55d9ed2d1c083,['The Legend of Zelda: Tri Force Heroes']
['https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2c3'],Bottle Grotto,"Bottle Grotto is the second Dungeon in Link's Awakening. It is the resting place of the Conch Horn, one of the eight Instruments of the Sirens. The entrance to this Dungeon is located within Goponga Swamp, north of the Mysterious Forest and is surrounded by swampy Water fitting with the Dungeon being named a Grotto, which is a cave located near a source of Water and is prone to flooding, although no Water can actually be found within the Dungeon. BowWow is needed to enter, as the entrance is completely blocked by Goponga Flowers, which cannot be destroyed by using any of the weapons Link currently has available to him. The interior of this Dungeon is mostly gray flooring and blue walls. The main tool of the Dungeon is the Power Bracelet, which is required to lift the numerous Pots and the Genie's Bottle which the level is named after. The mini-boss is a Hinox. ",5f6d158a3dd55d9ed2d1c084,"[""The Legend of Zelda: Link's Awakening""]"
['https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2c9'],Bosh Kala Shrine,"The Bosh Kala Shrine, designated by the Trial name The Wind Guides You, is an Ancient Shrine in Breath of the Wild. ",5f6d158a3dd55d9ed2d1c085,['The Legend of Zelda: Breath of the Wild']
['https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2ce'],Bomb Storage,Bomb Storage is a Level in Tri Force Heroes. It is the second Level in the Fortress area. ,5f6d158a3dd55d9ed2d1c086,['The Legend of Zelda: Tri Force Heroes']
"['https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2b8', 'https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2c7']",Castle Dungeon,"The Castle Dungeon, also known as the Sewer Passageway, is a dungeon in The Legend of Zelda series. ",5f6d158a3dd55d9ed2d1c088,"['The Legend of Zelda: A Link to the Past', 'The Legend of Zelda: A Link Between Worlds']"
['https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2ce'],Blazing Trail,Blazing Trail is a Level in Tri Force Heroes. It is the first Level in the Volcano area. ,5f6d158a3dd55d9ed2d1c087,['The Legend of Zelda: Tri Force Heroes']
['https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2bc'],Beneath the Well,"Beneath the Well is a vast maze-like mini-dungeon in Majora's Mask. It is located in Ikana Canyon, and must be traversed in order to obtain the Mirror Shield and be granted entrance to the Ancient Castle of Ikana.  ",5f6d158a3dd55d9ed2d1c089,"[""The Legend of Zelda: Majora's Mask""]"
['https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2c2'],Bellum,"Bellum is the primary antagonist of Phantom Hourglass, and serves as the Final Boss. ",5f6d158a3dd55d9ed2d1c08c,['The Legend of Zelda: Phantom Hourglass']
['https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2b9'],Black Tower,"The Black Tower, also known as Ambi's Tower, is a massive tower made of stone featured in Oracle of Ages that was built to the heavens 400 years in Labrynna's past by the order of Queen Ambi. However, after Veran arrived in the past, she manipulated the construction of the project and began using the tower for her own purposes. ",5f6d158a3dd55d9ed2d1c08b,['The Legend of Zelda: Oracle of Ages']
['https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2ce'],Buzz Blob Cave,"Buzz Blob Cave is the second Level in Tri Force Heroes. It is the second Level of the Woodlands area, preceded by Deku Forest and followed by Moblin Base. ",5f6d158a3dd55d9ed2d1c08a,['The Legend of Zelda: Tri Force Heroes']
"['https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2be', 'https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2c9']",Bridge of Eldin,"The Bridge of Eldin, also known as Eldin Bridge, is a recurring location in The Legend of Zelda series. ",5f6d158a3dd55d9ed2d1c08d,"['The Legend of Zelda: Twilight Princess', 'The Legend of Zelda: Breath of the Wild']"
